tax	barcode01	barcode02	barcode03	barcode04	barcode06	barcode07	barcode08	total
Bacteria;Bacillati;Bacillota;Negativicutes;Selenomonadales;Sporomusaceae;Pelosinus	0.0	6.0	1.0	0.0	0.0	0.0	0.0	7.0
Bacteria;Bacillati;Armatimonadota;Fimbriimonadia;Fimbriimonadales;Fimbriimonadaceae;Fimbriimonas	0.0	3.0	1.0	1.0	1.0	1.0	0.0	7.0
Bacteria;Pseudomonadati;Myxococcota;Myxococcota_Incertae_sedis;Polyangiales;Phaselicystidaceae;Phaselicystis	2.0	0.0	2.0	0.0	1.0	2.0	0.0	7.0
Bacteria;Pseudomonadati;Myxococcota;Myxococcia;Myxococcales;Archangiaceae;Cystobacter	1.0	0.0	2.0	1.0	2.0	0.0	0.0	6.0
Bacteria;Pseudomonadati;Bacteroidota;Chitinophagia;Chitinophagales;Chitinophagaceae;Parafilimonas	3.0	3.0	0.0	0.0	0.0	0.0	0.0	6.0
Bacteria;Pseudomonadati;Bacteroidota;Cytophagia;Cytophagales;Fulvivirgaceae;Chryseolinea	5.0	0.0	1.0	0.0	0.0	0.0	0.0	6.0
Bacteria;Bacillati;Actinomycetota;Actinomycetes;Mycobacteriales;Mycobacteriaceae;Mycolicibacterium	1.0	0.0	1.0	2.0	0.0	2.0	0.0	6.0
Bacteria;Pseudomonadati;Pseudomonadota;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;Oxalicibacterium	1.0	1.0	2.0	0.0	1.0	1.0	0.0	6.0
Bacteria;Pseudomonadati;Pseudomonadota;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Mycoavidus	0.0	1.0	4.0	0.0	0.0	1.0	0.0	6.0
Bacteria;Pseudomonadati;Verrucomicrobiota;Terrimicrobiia;Terrimicrobiales;Terrimicrobiaceae;Terrimicrobium	0.0	0.0	4.0	2.0	0.0	0.0	0.0	6.0
Bacteria;Bacillati;Actinomycetota;Actinomycetes;Micrococcales;Microbacteriaceae;Leifsonia	0.0	1.0	0.0	4.0	1.0	0.0	0.0	6.0
Bacteria;Pseudomonadati;Planctomycetota;Planctomycetia;Pirellulales;Lacipirellulaceae;Pirellulimonas	1.0	3.0	2.0	0.0	0.0	0.0	0.0	6.0
Bacteria;Pseudomonadati;Bacteroidota;Cytophagia;Cytophagales;Cyclobacteriaceae;Algoriphagus	0.0	0.0	0.0	0.0	3.0	3.0	0.0	6.0
Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Lysobacterales;Rhodanobacteraceae;Rhodanobacter	5.0	0.0	0.0	0.0	0.0	1.0	0.0	6.0
Bacteria;Bacillati;Chloroflexota;Ktedonobacteria;Ktedonobacterales;Ktedonosporobacteraceae;Ktedonosporobacter	0.0	0.0	0.0	6.0	0.0	0.0	0.0	6.0
Bacteria;Pseudomonadati;Myxococcota;Myxococcia;Myxococcales;Vulgatibacteraceae;Vulgatibacter	1.0	0.0	3.0	1.0	0.0	1.0	0.0	6.0
Bacteria;Bacillati;Cyanobacteriota;Cyanophyceae;Nostocales;Nostocaceae;Amazonocrinis	0.0	0.0	0.0	0.0	0.0	6.0	0.0	6.0
Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Rhodobacterales;Paracoccaceae;Cypionkella	1.0	2.0	3.0	0.0	0.0	0.0	0.0	6.0
Bacteria;Bacillati;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Anaerocolumna	0.0	2.0	0.0	1.0	0.0	3.0	0.0	6.0
Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Lysobacterales;Rhodanobacteraceae;Dyella	1.0	0.0	0.0	5.0	0.0	0.0	0.0	6.0
Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Lysobacterales;Rhodanobacteraceae;Chiayiivirga	1.0	0.0	1.0	0.0	0.0	4.0	0.0	6.0
Bacteria;Pseudomonadati;Planctomycetota;Planctomycetia;Planctomycetales;Planctomycetaceae;Schlesneria	2.0	1.0	0.0	1.0	2.0	0.0	0.0	6.0
Bacteria;Bacillati;Cyanobacteriota;Cyanophyceae;Oculatellales;Oculatellaceae;Pegethrix	0.0	1.0	0.0	0.0	0.0	5.0	0.0	6.0
Bacteria;Bacillati;Chloroflexota;Ktedonobacteria;Ktedonobacterales;Dictyobacteraceae;Dictyobacter	0.0	0.0	0.0	6.0	0.0	0.0	0.0	6.0
Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Rhizobiaceae;Pararhizobium	1.0	1.0	0.0	1.0	1.0	1.0	0.0	5.0
Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Lysobacterales;Lysobacteraceae;Pseudoxanthomonas	0.0	1.0	2.0	0.0	2.0	0.0	0.0	5.0
Bacteria;Bacillati;Actinomycetota;Actinomycetes;Micrococcales;Micrococcaceae;Arthrobacter	0.0	1.0	0.0	1.0	2.0	1.0	0.0	5.0
Bacteria;Bacillati;Bacillota;Clostridia;Peptostreptococcales;Peptostreptococcaceae;Romboutsia	0.0	2.0	1.0	0.0	1.0	1.0	0.0	5.0
Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Legionellales;Coxiellaceae;Coxiella	0.0	1.0	1.0	0.0	2.0	1.0	0.0	5.0
Bacteria;Bacillati;Actinomycetota;Actinomycetes;Micrococcales;Microbacteriaceae;Amnibacterium	0.0	1.0	1.0	2.0	1.0	0.0	0.0	5.0
Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Methylopilaceae;Methylopila	0.0	1.0	3.0	1.0	0.0	0.0	0.0	5.0
Bacteria;Bacillati;Cyanobacteriota;Cyanophyceae;Chroococcidiopsidales;Sinocapsaceae;Sinocapsa	0.0	0.0	0.0	3.0	1.0	1.0	0.0	5.0
Bacteria;Bacillati;Actinomycetota;Actinomycetes;Jatrophihabitantales;Jatrophihabitantaceae;Jatrophihabitans	1.0	2.0	1.0	1.0	0.0	0.0	0.0	5.0
Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Rhizobiaceae;Agrobacterium	0.0	0.0	0.0	1.0	1.0	3.0	0.0	5.0
Bacteria;Bacillati;Actinomycetota;Thermoleophilia;Solirubrobacterales;Parviterribacteraceae;Parviterribacter	1.0	0.0	0.0	1.0	3.0	0.0	0.0	5.0
Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Lysobacterales;Lysobacteraceae;Xanthomonas	0.0	3.0	1.0	0.0	1.0	0.0	0.0	5.0
Bacteria;Pseudomonadati;Pseudomonadota;Betaproteobacteria;Nitrosomonadales;Sterolibacteriaceae;Sterolibacterium	0.0	2.0	3.0	0.0	0.0	0.0	0.0	5.0
Bacteria;Pseudomonadati;Pseudomonadota;Betaproteobacteria;Rhodocyclales;Zoogloeaceae;Uliginosibacterium	0.0	0.0	0.0	0.0	2.0	3.0	0.0	5.0
Bacteria;Bacillati;Cyanobacteriota;Cyanophyceae;Nostocales;Cyanomargaritaceae;Cyanomargarita	0.0	0.0	0.0	0.0	0.0	5.0	0.0	5.0
Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Acetobacterales;Acidocellaceae;Acidisoma	0.0	1.0	0.0	3.0	0.0	1.0	0.0	5.0
Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingorhabdus	0.0	1.0	3.0	0.0	1.0	0.0	0.0	5.0
Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Oceanospirillales;Halomonadaceae;Halomonas	0.0	0.0	0.0	0.0	0.0	5.0	0.0	5.0
Bacteria;Pseudomonadati;Pseudomonadota;Betaproteobacteria;Rhodocyclales;Rhodocyclaceae;Aromatoleum	2.0	1.0	1.0	0.0	0.0	1.0	0.0	5.0
Bacteria;Bacillati;Cyanobacteriota;Cyanophyceae;Nostocales;Calotrichaceae;Macrochaete	0.0	0.0	0.0	0.0	4.0	1.0	0.0	5.0
Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Yersiniaceae;Serratia	0.0	0.0	0.0	0.0	0.0	0.0	5.0	5.0
Bacteria;Bacillati;Actinomycetota;Actinomycetes;Sporichthyales;Sporichthyaceae;Sporichthya	1.0	4.0	0.0	0.0	0.0	0.0	0.0	5.0
Bacteria;Pseudomonadati;Bacteroidota;Cytophagia;Cytophagales;Cytophagaceae;Spirosoma	0.0	0.0	1.0	0.0	3.0	1.0	0.0	5.0
Bacteria;Pseudomonadati;Pseudomonadota;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;Telluria	0.0	1.0	1.0	0.0	3.0	0.0	0.0	5.0
Bacteria;Pseudomonadati;Bacteroidota;Saprospiria;Saprospirales;Lewinellaceae;Flavilitoribacter	1.0	3.0	1.0	0.0	0.0	0.0	0.0	5.0
Bacteria;Pseudomonadati;Bacteroidota;Cytophagia;Cytophagales;Hymenobacteraceae;Adhaeribacter	1.0	1.0	1.0	0.0	2.0	0.0	0.0	5.0
Bacteria;Pseudomonadati;Pseudomonadota;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Cupriavidus	0.0	2.0	1.0	0.0	2.0	0.0	0.0	5.0
Bacteria;Bacillati;Bacillota;Bacillota_Incertae_sedis;Bacillota_Incertae_sedis;Bacillota_Incertae_sedis;Hydrogenispora	0.0	1.0	0.0	2.0	0.0	2.0	0.0	5.0
Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Nitrobacteraceae;Tardiphaga	1.0	2.0	2.0	0.0	0.0	0.0	0.0	5.0
Bacteria;Pseudomonadati;Pseudomonadota;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Quisquiliibacterium	0.0	0.0	2.0	1.0	1.0	1.0	0.0	5.0
Bacteria;Pseudomonadati;Myxococcota;Myxococcia;Myxococcales;Myxococcaceae;Corallococcus	0.0	0.0	0.0	2.0	2.0	1.0	0.0	5.0
Bacteria;Bacillati;Bacillota;Bacilli;Bacillales;Caryophanaceae;Rummeliibacillus	0.0	0.0	0.0	5.0	0.0	0.0	0.0	5.0
Bacteria;Pseudomonadati;Bacteroidota;Sphingobacteriia;Sphingobacteriales;Sphingobacteriaceae;Pedobacter	0.0	1.0	0.0	0.0	3.0	1.0	0.0	5.0
Bacteria;Bacillati;Actinomycetota;Actinomycetes;Micrococcales;Intrasporangiaceae;Terrabacter	0.0	0.0	1.0	2.0	1.0	0.0	0.0	4.0
Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Nitrobacteraceae;Nitrobacter	3.0	0.0	0.0	0.0	0.0	1.0	0.0	4.0
Bacteria;Pseudomonadati;Acidobacteriota;Terriglobia;Terriglobales;Acidobacteriaceae;Acidisarcina	0.0	0.0	3.0	1.0	0.0	0.0	0.0	4.0
Bacteria;Pseudomonadati;Thermodesulfobacteriota;Desulfuromonadia;Desulfuromonadales;Syntrophotaleaceae;Syntrophotalea	0.0	0.0	2.0	0.0	1.0	1.0	0.0	4.0
Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Sphingomonadales;Erythrobacteraceae;Tsuneonella	1.0	0.0	1.0	0.0	0.0	2.0	0.0	4.0
Bacteria;Pseudomonadati;Myxococcota;Myxococcota_Incertae_sedis;Polyangiales;Polyangiaceae;Aetherobacter	0.0	1.0	1.0	1.0	1.0	0.0	0.0	4.0
Bacteria;Pseudomonadati;Planctomycetota;Planctomycetia;Planctomycetales;Planctomycetaceae;Gimesia	0.0	2.0	0.0	0.0	2.0	0.0	0.0	4.0
Bacteria;Pseudomonadati;Pseudomonadota;Betaproteobacteria;Burkholderiales;Burkholderiales_Incertae_sedis;Tepidimonas	0.0	0.0	3.0	1.0	0.0	0.0	0.0	4.0
Bacteria;Pseudomonadati;Bacteroidota;Chitinophagia;Chitinophagales;Chitinophagaceae;Flavihumibacter	1.0	0.0	2.0	0.0	0.0	1.0	0.0	4.0
Bacteria;Pseudomonadati;Acidobacteriota;Terriglobia;Terriglobales;Acidobacteriaceae;Paracidobacterium	1.0	0.0	1.0	2.0	0.0	0.0	0.0	4.0
Bacteria;Pseudomonadati;Pseudomonadota;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Pandoraea	0.0	2.0	1.0	0.0	0.0	1.0	0.0	4.0
Bacteria;Pseudomonadati;Pseudomonadota;Betaproteobacteria;Burkholderiales;Comamonadaceae;Xenophilus	0.0	0.0	0.0	0.0	1.0	3.0	0.0	4.0
Bacteria;Pseudomonadati;Pseudomonadota;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Burkholderia	0.0	0.0	0.0	0.0	2.0	2.0	0.0	4.0
Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Enterobacter	0.0	0.0	0.0	0.0	4.0	0.0	0.0	4.0
Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Pseudescherichia	0.0	0.0	0.0	0.0	3.0	1.0	0.0	4.0
Bacteria;Bacillati;Bacillota;Bacilli;Bacillales;Bacillales_Incertae_sedis;Exiguobacterium	0.0	0.0	0.0	0.0	3.0	1.0	0.0	4.0
Bacteria;Pseudomonadati;Acidobacteriota;Terriglobia;Terriglobales;Acidobacteriaceae;Acidipila	0.0	0.0	0.0	4.0	0.0	0.0	0.0	4.0
Bacteria;Bacillati;Bacillota;Clostridia;Eubacteriales;Oscillospiraceae;Acetivibrio	0.0	1.0	2.0	1.0	0.0	0.0	0.0	4.0
Bacteria;Bacillati;Cyanobacteriota;Cyanophyceae;Leptolyngbyales;Leptolyngbyaceae;Leptodesmis	0.0	0.0	0.0	0.0	0.0	4.0	0.0	4.0
Bacteria;Pseudomonadati;Myxococcota;Myxococcia;Myxococcales;Myxococcaceae;Aggregicoccus	0.0	0.0	0.0	1.0	0.0	3.0	0.0	4.0
Bacteria;Bacillati;Cyanobacteriota;Cyanophyceae;Coleofasciculales;Coleofasciculaceae;Arizonema	0.0	0.0	0.0	0.0	4.0	0.0	0.0	4.0
Bacteria;Bacillati;Bacillota;Negativicutes;Selenomonadales;Sporomusaceae;Sporomusa	0.0	4.0	0.0	0.0	0.0	0.0	0.0	4.0
Bacteria;Bacillati;Bacillota;Bacilli;Bacillales;Bacillaceae;Cytobacillus	0.0	0.0	0.0	4.0	0.0	0.0	0.0	4.0
Bacteria;Pseudomonadati;Thermodesulfobacteriota;Desulfuromonadia;Desulfuromonadales;Desulfuromonadaceae;Desulfuromonas	1.0	0.0	1.0	0.0	2.0	0.0	0.0	4.0
Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Acetobacterales;Roseomonadaceae;Paracraurococcus	0.0	0.0	0.0	4.0	0.0	0.0	0.0	4.0
Bacteria;Bacillati;Cyanobacteriota;Cyanophyceae;Nostocales;Symphyonemataceae;Loriellopsis	0.0	0.0	0.0	0.0	0.0	4.0	0.0	4.0
Bacteria;Pseudomonadati;Pseudomonadota;Betaproteobacteria;Neisseriales;Chitinibacteraceae;Chitinimonas	0.0	1.0	1.0	1.0	0.0	1.0	0.0	4.0
Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Parvularculales;Parvularculaceae;Marinicaulis	2.0	0.0	0.0	0.0	2.0	0.0	0.0	4.0
Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Rhodobacterales;Roseobacteraceae;Rubellimicrobium	0.0	0.0	0.0	0.0	1.0	3.0	0.0	4.0
Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Oceanospirillales;Oceanospirillaceae;Motiliproteus	1.0	1.0	0.0	0.0	1.0	1.0	0.0	4.0
Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Pleomorphomonadaceae;Pleomorphomonas	0.0	3.0	0.0	0.0	1.0	0.0	0.0	4.0
Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Phyllobacteriaceae;Pseudaminobacter	1.0	0.0	0.0	2.0	1.0	0.0	0.0	4.0
Bacteria;Bacillati;Actinomycetota;Actinomycetes;Geodermatophilales;Geodermatophilaceae;Blastococcus	0.0	0.0	2.0	1.0	1.0	0.0	0.0	4.0
Bacteria;Pseudomonadati;Pseudomonadota;Betaproteobacteria;Rhodocyclales;Rhodocyclaceae;Propionivibrio	1.0	1.0	2.0	0.0	0.0	0.0	0.0	4.0
Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Acetobacterales;Acetobacteraceae;Komagataeibacter	0.0	0.0	0.0	4.0	0.0	0.0	0.0	4.0
Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Rhodospirillales;Novispirillaceae;Novispirillum	3.0	0.0	0.0	0.0	1.0	0.0	0.0	4.0
Bacteria;Pseudomonadati;Planctomycetota;Planctomycetia;Pirellulales;Lacipirellulaceae;Bythopirellula	1.0	1.0	1.0	0.0	1.0	0.0	0.0	4.0
Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Geminicoccales;Geminicoccaceae;Geminicoccus	0.0	0.0	0.0	0.0	3.0	1.0	0.0	4.0
Bacteria;Bacillati;Actinomycetota;Actinomycetes;Micrococcales;Intrasporangiaceae;Phycicoccus	1.0	0.0	2.0	0.0	0.0	0.0	0.0	3.0
Bacteria;Bacillati;Actinomycetota;Actinomycetes;Micrococcales;Microbacteriaceae;Microbacterium	1.0	2.0	0.0	0.0	0.0	0.0	0.0	3.0
Bacteria;Pseudomonadati;Bacteroidota;Chitinophagia;Chitinophagales;Chitinophagaceae;Edaphobaculum	1.0	0.0	1.0	0.0	1.0	0.0	0.0	3.0
Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Atlantibacter	0.0	0.0	0.0	0.0	0.0	3.0	0.0	3.0
Bacteria;Bacillati;Cyanobacteriota;Cyanophyceae;Leptolyngbyales;Trichocoleusaceae;Trichocoleus	0.0	0.0	0.0	0.0	1.0	2.0	0.0	3.0
Bacteria;Pseudomonadati;Bacteroidota;Chitinophagia;Chitinophagales;Chitinophagaceae;Aurantisolimonas	0.0	0.0	2.0	0.0	1.0	0.0	0.0	3.0
Bacteria;Pseudomonadati;Acidobacteriota;Terriglobia;Terriglobales;Acidobacteriaceae;Pseudacidobacterium	0.0	0.0	0.0	1.0	2.0	0.0	0.0	3.0
Bacteria;Pseudomonadati;Bacteroidota;Chitinophagia;Chitinophagales;Chitinophagaceae;Flaviaesturariibacter	0.0	0.0	0.0	0.0	0.0	3.0	0.0	3.0
Bacteria;Pseudomonadati;Bacteroidota;Cytophagia;Cytophagales;Chryseotaleaceae;Chryseotalea	0.0	2.0	0.0	0.0	1.0	0.0	0.0	3.0
Bacteria;Bacillati;Actinomycetota;Actinomycetes;Mycobacteriales;Mycobacteriaceae;Mycobacterium	0.0	2.0	0.0	1.0	0.0	0.0	0.0	3.0
Bacteria;Bacillati;Actinomycetota;Actinomycetes;Micrococcales;Micrococcaceae;Paenarthrobacter	0.0	0.0	0.0	3.0	0.0	0.0	0.0	3.0
Bacteria;Bacillati;Actinomycetota;Actinomycetes;Micrococcales;Micrococcaceae;Pseudarthrobacter	0.0	0.0	2.0	0.0	1.0	0.0	0.0	3.0
Bacteria;Bacillati;Actinomycetota;Actinomycetes;Micromonosporales;Micromonosporaceae;Actinoplanes	0.0	1.0	2.0	0.0	0.0	0.0	0.0	3.0
Bacteria;Pseudomonadati;Bdellovibrionota;Oligoflexia;Silvanigrellales;Silvanigrellaceae;Fluviispira	0.0	0.0	0.0	1.0	1.0	1.0	0.0	3.0
Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Lysobacterales;Lysobacteraceae;Agrilutibacter	3.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0
Bacteria;Pseudomonadati;Myxococcota;Myxococcia;Myxococcales;Myxococcaceae;Pyxidicoccus	0.0	0.0	0.0	0.0	0.0	3.0	0.0	3.0
Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Chromatiales;Sedimenticolaceae;Thiolapillus	0.0	0.0	2.0	0.0	1.0	0.0	0.0	3.0
Bacteria;Pseudomonadati;Pseudomonadota;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Robbsia	0.0	1.0	0.0	0.0	1.0	1.0	0.0	3.0
Bacteria;Pseudomonadati;Bacteroidota;Cytophagia;Cytophagales;Hymenobacteraceae;Hymenobacter	0.0	0.0	0.0	1.0	1.0	1.0	0.0	3.0
Bacteria;Pseudomonadati;Pseudomonadota;Betaproteobacteria;Rhodocyclales;Zoogloeaceae;Zoogloea	3.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0
Bacteria;Bacillati;Cyanobacteriota;Cyanophyceae;Nostocales;Nostocaceae;Cylindrospermum	0.0	0.0	0.0	1.0	0.0	2.0	0.0	3.0
Bacteria;Pseudomonadati;Planctomycetota;Planctomycetia;Planctomycetales;Planctomycetaceae;Maioricimonas	1.0	0.0	1.0	0.0	1.0	0.0	0.0	3.0
Bacteria;Bacillati;Bacillota;Bacilli;Bacillales;Sporolactobacillaceae;Tuberibacillus	0.0	0.0	0.0	3.0	0.0	0.0	0.0	3.0
Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Pectobacteriaceae;Pectobacterium	0.0	0.0	0.0	0.0	0.0	0.0	3.0	3.0
Bacteria;Pseudomonadati;Pseudomonadota;Betaproteobacteria;Nitrosomonadales;Methylophilaceae;Methylophilus	0.0	1.0	0.0	0.0	2.0	0.0	0.0	3.0
Bacteria;Bacillati;Cyanobacteriota;Cyanophyceae;Oscillatoriales;Oscillatoriaceae;Oscillatoria	0.0	0.0	0.0	0.0	0.0	3.0	0.0	3.0
Bacteria;Pseudomonadati;Myxococcota;Myxococcota_Incertae_sedis;Nannocystales;Nannocystaceae;Pseudenhygromyxa	3.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0
Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Cellvibrionales;Halieaceae;Kineobactrum	2.0	0.0	0.0	0.0	1.0	0.0	0.0	3.0
Bacteria;Bacillati;Cyanobacteriota;Cyanophyceae;Nostocales;Nostocaceae;Atlanticothrix	0.0	0.0	0.0	0.0	0.0	3.0	0.0	3.0
Bacteria;Pseudomonadati;Pseudomonadota;Betaproteobacteria;Burkholderiales;Alcaligenaceae;Achromobacter	1.0	1.0	0.0	0.0	1.0	0.0	0.0	3.0
Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Rickettsiales;Rickettsiaceae;Rickettsia	2.0	0.0	1.0	0.0	0.0	0.0	0.0	3.0
Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Rhodospirillales;Rhodospirillaceae;Telmatospirillum	1.0	0.0	0.0	2.0	0.0	0.0	0.0	3.0
Bacteria;Bacillati;Bacillota;Bacilli;Bacillales;Alicyclobacillaceae;Alicyclobacillus	0.0	0.0	0.0	1.0	1.0	1.0	0.0	3.0
Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Hyphomonadales;Hyphomonadaceae;Vitreimonas	0.0	2.0	1.0	0.0	0.0	0.0	0.0	3.0
Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Kaistiaceae;Prosthecomicrobium	0.0	0.0	1.0	1.0	0.0	1.0	0.0	3.0
Bacteria;Bacillati;Bacillota;Bacilli;Bacillales;Bacillaceae;Alkalihalophilus	0.0	0.0	0.0	1.0	0.0	2.0	0.0	3.0
Bacteria;Bacillati;Bacillota;Bacilli;Bacillales;Bacillaceae;Domibacillus	0.0	0.0	2.0	0.0	0.0	1.0	0.0	3.0
Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Oceanospirillales;Oceanospirillaceae;Marinobacterium	2.0	0.0	0.0	0.0	1.0	0.0	0.0	3.0
Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Woeseiales;Woeseiaceae;Woeseia	1.0	1.0	1.0	0.0	0.0	0.0	0.0	3.0
Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Oceanospirillales;Oceanospirillaceae;Marinospirillum	0.0	0.0	0.0	0.0	1.0	2.0	0.0	3.0
Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Oceanospirillales;Oceanospirillaceae;Oceanospirillum	0.0	0.0	0.0	0.0	0.0	3.0	0.0	3.0
Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Nevskiales;Nevskiaceae;Nevskia	1.0	1.0	1.0	0.0	0.0	0.0	0.0	3.0
Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Rhizobiaceae;Ensifer	0.0	0.0	1.0	1.0	1.0	0.0	0.0	3.0
Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Rhizobiaceae;Gellertiella	0.0	0.0	0.0	1.0	1.0	1.0	0.0	3.0
Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Rhizobiaceae;Shinella	0.0	0.0	1.0	0.0	1.0	1.0	0.0	3.0
Bacteria;Bacillati;Actinomycetota;Thermoleophilia;Solirubrobacterales;Paraconexibacteraceae;Paraconexibacter	0.0	1.0	2.0	0.0	0.0	0.0	0.0	3.0
Bacteria;Bacillati;Actinomycetota;Actinomycetes;Kineosporiales;Kineosporiaceae;Angustibacter	0.0	2.0	0.0	0.0	0.0	0.0	0.0	2.0
Bacteria;Bacillati;Actinomycetota;Actinomycetes;Frankiales;Frankiaceae;Pseudofrankia	0.0	0.0	1.0	0.0	1.0	0.0	0.0	2.0
Bacteria;Bacillati;Actinomycetota;Actinomycetes;Streptosporangiales;Thermomonosporaceae;Actinoallomurus	0.0	1.0	0.0	1.0	0.0	0.0	0.0	2.0
Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Nevskiales;Nevskiaceae;Stenotrophobium	0.0	0.0	1.0	0.0	1.0	0.0	0.0	2.0
Bacteria;Pseudomonadati;Verrucomicrobiota;Opitutia;Opitutales;Alterococcaceae;Alterococcus	1.0	0.0	1.0	0.0	0.0	0.0	0.0	2.0
Bacteria;Pseudomonadati;Thermodesulfobacteriota;Desulfuromonadia;Geobacterales;Geobacteraceae;Geobacter	0.0	0.0	2.0	0.0	0.0	0.0	0.0	2.0
Bacteria;Bacillati;Bacillota;Bacilli;Bacillales;Bacillaceae;Alkalicoccobacillus	0.0	0.0	2.0	0.0	0.0	0.0	0.0	2.0
Bacteria;Bacillati;Bacillota;Bacilli;Bacillales;Bacillaceae;Alkalihalobacillus	0.0	0.0	0.0	2.0	0.0	0.0	0.0	2.0
Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Rhizobiaceae;Sinorhizobium	0.0	0.0	0.0	0.0	1.0	1.0	0.0	2.0
Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Ancalomicrobiaceae;Siculibacillus	0.0	0.0	0.0	1.0	0.0	1.0	0.0	2.0
Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Hyphomicrobiales_Incertae_sedis;Enhydrobacter	0.0	1.0	1.0	0.0	0.0	0.0	0.0	2.0
Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Caulobacterales;Caulobacteraceae;Terricaulis	2.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0
