tax	barcode01	barcode02	barcode03	barcode04	barcode06	barcode07	barcode08	total
Bacteria;Pseudomonadati;Nitrospirota;Nitrospiria;Nitrospirales;Nitrospiraceae;Nitrospira	45.0	24.0	36.0	9.0	27.0	9.0	0.0	150.0
Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Methylobacteriaceae;Methylobacterium	0.0	7.0	20.0	64.0	28.0	28.0	0.0	147.0
Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Rhizobiaceae;Rhizobium	12.0	16.0	29.0	6.0	42.0	39.0	0.0	144.0
Bacteria;Pseudomonadati;Myxococcota;Myxococcota_Incertae_sedis;Polyangiales;Labilitrichaceae;Labilithrix	15.0	23.0	31.0	39.0	24.0	11.0	0.0	143.0
Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Hyphomicrobiaceae;Hyphomicrobium	32.0	22.0	53.0	11.0	13.0	12.0	0.0	143.0
Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Lysobacterales;Lysobacteraceae;Noviluteimonas	7.0	29.0	43.0	0.0	56.0	3.0	0.0	138.0
Bacteria;Pseudomonadati;Pseudomonadota;Betaproteobacteria;Nitrosomonadales;Nitrosomonadaceae;Nitrosospira	19.0	27.0	32.0	8.0	33.0	18.0	0.0	137.0
Bacteria;Pseudomonadati;Pseudomonadota;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Pararobbsia	23.0	38.0	33.0	1.0	30.0	10.0	0.0	135.0
Bacteria;Bacillati;Bacillota;Bacilli;Bacillales;Bacillaceae;Neobacillus	1.0	0.0	6.0	73.0	30.0	23.0	0.0	133.0
Bacteria;Bacillati;Actinomycetota;Thermoleophilia;Solirubrobacterales;Solirubrobacteraceae;Solirubrobacter	24.0	43.0	23.0	5.0	26.0	11.0	0.0	132.0
Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingomonas	6.0	16.0	24.0	8.0	32.0	44.0	0.0	130.0
Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Hyphomicrobiaceae;Methylothermalis	17.0	34.0	44.0	3.0	25.0	7.0	0.0	130.0
Bacteria;Pseudomonadati;Bacteroidota;Chitinophagia;Chitinophagales;Chitinophagaceae;Segetibacter	1.0	5.0	8.0	7.0	70.0	35.0	0.0	126.0
